# Kranji hand-crafted glosses - example phrases
# Source: project-authored; no third-party licence
#
# A row is one sense of one phrase. Pins are position=reading, and exist ONLY
# where a character reads differently from the corpus principal - so every pin
# marks a place a reader would otherwise guess wrong. Position, not glyph:
# 慢慢地走 repeats 慢, and two glyph-keyed pins could not be told apart.
#
# 东西 carries two senses that are not even read alike - dongxi for the object,
# dong-xi for the directions. It is sense 1 that shows 东 = east.
# phrase	sense	english	pins
东西	0	a thing	
东西	1	east and west	
东方	0	the east	
东边	0	the east side	
山东	0	Shandong, a province	
丢了	0	lost	
低头	0	to lower the head	
到了	0	arrived	
动物	0	an animal	
叼着	0	holding in the mouth	
慢慢地走	0	to walk slowly	
地上	0	on the ground	0=di4
土地	0	land	1=di4
地方	0	a place	0=di4
很多	0	a lot	
大人	0	an adult	
对了	0	that's right	
当然	0	of course	
跑得快	0	runs fast	1=de0
得到	0	to obtain	
我得走了	0	I have to go	1=dei3
戴帽子	0	to wear a hat	
掉下来	0	to fall down	
山洞	0	a cave	
水滴	0	a drop of water	
台灯	0	a desk lamp	
一点	0	a little	
我的	0	mine	
盾牌	0	a shield	
第一	0	first	
等一下	0	wait a moment	
回答	0	to answer	
都是	0	all are	
山顶	0	a mountain top	
一个	0	one of something	
有人	0	there is someone	
有的	0	some of them	
他的	0	his	
他们	0	they; them	
在家	0	at home	
现在	0	now	
上山	0	to go up a hill	
里面	0	inside	
家里	0	at home; in the house	
是的	0	yes; that is so	
我们	0	we; us	
人们	0	people	
那个	0	that one	
不是	0	is not	
不好	0	not good	
今天	0	today	
天上	0	in the sky	
说话	0	to speak	
说明	0	to explain	
一只鸭	0	one duck	1=zhi1
两只蚂蚁	0	two ants	1=zhi1
来了	0	has come	
起来	0	to get up	
很好	0	very good	
子女	0	sons and daughters	
水果	0	fruit	
它的	0	its	
一起	0	together	
狮子	0	a lion	
小鸟	0	a little bird	
大小	0	size	
十个	0	ten of them	
十分	0	very; completely	
中国	0	China	
国王	0	a king	
宝剑	0	a fine sword	
从前	0	once upon a time	
什么	0	what	
时间	0	time	
回去	0	to go back	
下来	0	to come down	
西边	0	the west side	
山羊	0	a goat	
画画	0	to draw a picture	
田里	0	in the field	
氏族	0	a clan	
好人	0	a good person	
喝水	0	to drink water	
兔子	0	a rabbit	
学会	0	to learn how	
酒杯	0	a wine cup	
合适	0	suitable	
走开	0	to go away	
禾苗	0	a young grain plant	
石头	0	a stone	
